龚	垄,詟,龛,陇,巽
倥	涳
涳	倥,漥
捱	倨,堐
偅	倩,堹,種,僅,傼,儘,倳,褈,僼,瘒,僖,憘,傋
偦	傦,倩,傊,揟,煟,壻,渭,谞
傋	倩,搆,掅,僅,傼,倳,惰,偅,僼,僖,溝
僒	倩,僼,僖
凊	倩,掅,濇,瘒,溝
堶	倩,搆,媠,埥,棈,掅,褠,惰,耩,構,煹,楕
惰	倩,搆,棈,掅,谓,褠,耩,構,煹,堶,憘,傋,楕
掅	倩,搆,凊,檣,禧,埥,棈,褠,擋,惰,摿,構,揟,搞,穡,堶,憘,傋,攁,搰
棈	崝,啨,棛,檔,楕,锖,埥,掅,褠,耩,揟,倩,檣,橣,橲,惰,構,搆,禧,槣,堶
構	倩,搆,棈,媾,掅,講,褠,惰,耩,煹,堶,橫,楕
㑸	倩,億,偉,傎,傮,儘,傅,儕
㨊	倩,搆,埥,棈,掅,褿,褠,惰,耩,構,揟,煹,堶,攁,楕,搰
倪	兒,淣
淣	況,倪,涗
兒	倪,皃
倫	掄,淪,惀
惀	埨,掄,倫
掄	掵,埨,惀,倫
淪	倫
倭	涹,捼,诿,偻
捼	楼,唩,搂,褛,倭
涹	诿,溇,倭
诿	涹,倭
㣦	涹,捼,诿,倭
捰	搮,堁,猓,捏,惈,棵,倮,稞
淉	倮
倱	
凍	谏,倲
僡	憓,倳,傳,潓,橞
堹	種,墐,倳,煄,偅,瘒,鍾,锺,憘,揰
憓	僡,慱,倳,憶,憘,潓,橞
㒖	憓,僡,澫,倳,偅
㣫	堹,種,僅,倳,褈,偅,僼,瘒,锺
倴	渀
渀	倴
倶	偍,偪,偈,偮
偍	偪,湜,倶,惿,瑅,堤,偈,徥
偮	楫,傊,倶,揖,偈,惲
债	偾,僮,傎
偾	债,愤
傎	僨,债
倻	揶,椰,瑘
揶	椰,倻
椰	瑘,樃,揶,柵,棚,倻,鄊
瑘	揶,鄊,椰,倻
鄊	鄕,郷,椰,倻
㑚	稝,椰,倻
㑡	倻
偵	偼,值,偆
湻	湸,漥,淳,瘑,值
倽	涻
涻	倽
淁	倿,漤
偀	愥,渶
愥	煐,偀
渶	涣,偀,愥
偂	湔
湔	偂
偃	揠,愝,堰,椻,褗
堰	揠,偃,隁,愝,椻,褗
惬	愜,偃,摑
愝	揠,蝘,偃,隁,堰,戄,椻,褗
揠	偃,隁,愝,堰,椻,褗,擓
椻	揠,偃,隁,愝,堰,褗,櫃
褗	揠,蝘,偃,隁,愝,堰,椻
僅	傮,瑾,傼,墐,槿,漌,偅,慬,僮,馑,傋,谨
僼	澧,偅,僒
儘	偅,濜,璶,壗
慬	憧,瑾,僅,墐,傼,懽,槿,漌,偅,慒,僮,馑,谨
憘	憓,禧,堹,慎,惰,偅,僖
種	堹,锺,褈,偅,鍾,緟,稹,蝩,揰
褈	锺,偅,禧,種
㮔	棰,橦,堹,種,锺,槿,捙,煄,橂,偅,褈,緟,櫮,蝩,楝,揰
偆	椿,傄,傣,堾,湷,瑃
傄	偆
堾	媋,瑃,椿,偆
椿	搸,摏,楱,偆,堾,揍,榛,瑃,媋
湷	瑃,偆
瑃	椿,暙,偆,瑧,堾,湷
堨	揭,喝,楬,猲,愒,渴,埸,掲,褐,谒,堛,暍,惕,偈,渇
愒	揭,楬,愓,愊,渴,埸,惿,掲,愪,谒,堨,惕,偈,褐
掲	揭,楬,裼,愒,揖,埸,锡,堨,惕,偈,褐
渇	淐,愒,渴,谒,堨,偈
偉	億,湋,愇,椲,僤,徫
僤	億,偉,渾,憚,潬
億	偉,僮,憶
徫	偉,愇,稦,椲,褘,禕
愇	湋,偉,暐,稦,椲,媁,喡,煒,憶,褘,瑋,禕,徫
湋	渾,潬,偉,愇
渪	湡,偊
湡	渪,渑,溩,偊,漶,偶,溤,涓
㙖	偊,堭,楀,偶,瑀
偌	掿,渃,诺
吂	自,宙,苖,苦,偌,吿,吉
掿	掊,偌,描,楉
渃	掿,偌,涪,淓,诺
惿	偍,褆,缇,愓,愒,愊,惺,禔,愪,瑅,堤,煶,惕,徥
湜	偍
瑅	偍,缇,惿,禔,煶,堤,瑆,徥
惼	慵,煸,稨,褊,煽,徧,谝,搧,偏,楄,编,揙
㴜	漉,偏
偐	谚
偑	
佩	偑
偒	揚,楊,場,瑒,傝,煬
傝	搨,偒,禢,溻
傿	偒
場	揚,偒,婸,啺,瑒,埸,楊,禓,煬
揚	搨,場,偒,婸,瑒,褟,楊,禓,煬
楊	揚,禓,榥,場,偒,婸,瑒,榾,糃,枴,煬
瑒	揚,場,偒,婸,啺,碭,楊,禓,煬
禓	蝪,揚,腸,鍚,場,偒,婸,啺,瑒,碭,暘,褟,陽,禢,糃,楊,煬
偓	楃
楃	媉,偓,樞,喔
偔	湂,愕,谔
堮	崿,偔,锷,愕
愕	湂,谔,堮,锷,偔
湂	谔,偔,愕
谔	湂,偔,锷,愕
偖	渚,楮,偣
堷	棤,惜,焟,谙,湆,愔,偖,徣,偣
楮	褚,暏,禇,槢,睹,偖,琽,锗
渚	偖,诸,洘
㥩	褚,惜,稓,愔,偖
偗	渻
渻	澢,偗
偞	渫
渫	偞
僮	墥,憧,橦,億,蓮,僿,僅,徸,燑,獞,偟,慬,潼
僿	偟,僮
堭	楻,惶,隍,偟,揘,锽,徨,瑝,煌
徨	楻,楦,堭,惶,徢,隍,偟,锽,瑝
惶	憧,悼,楻,堭,隍,偟,偶,锽,徨
湟	偟
㾖	瘦,痹,瘞,痩,痕,偟
偠	
㴗	偠
偡	湛,谌,椹
谌	煁,偡,湛,揕,椹,愖
偢	愀,揪
愀	啾,煍,楸,锹,偢
愔	恪,棤,惜,焟,谙,堷,徣,悢,偣,恉
湆	溍,湇,谙,堷,渚,偣
谙	惜,湆,偣,愔,堷,棤
偤	湭
揂	湭,偤
湭	偤
傦	愲,僊,傊,偦,榾
壻	愲,偦,揟,煟,搰
揟	棈,掅,楈,偦,稩,媦,煟,壻,搰
谞	偦,渭
㙕	埥,稩,偦,緭,媦,揟,猬,煟,喟,壻,渭,搰
㥜	愲,稩,偦,愩,媦,愪,揟,谓,煟,喟,壻,渭,搰
㥠	楈,偦,揟,壻,谞
僙	偩,備,潢
堛	偪,揊,愊,煏,埸,焻,堨,褔,楅,椙
楅	偪,槅,樞,揊,愊,煏,椢,櫑,褔,堛,椙
㩡	偪,愊,揊
偬	惚,愡
惚	偬,愡
愡	偬,惚
惲	偮,墠,堚,楎,憚,懌,檡,褌,樿,揮,墿,琿
揖	偮,楫,掲,缉,搰
㑮	偮,擇,墠,堚,楎,憚,懌,檡,僤,褌,揮,惲,琿
㣬	偮,缉,楫,揖
偰	揳
偱	傏,揗,楯
傏	搪,偱
揗	楯,捪,褲,堳,偱,楣
楯	榶,揗,瑂,褲,堳,偱,椆,楣
偲	摁,愢
愢	摁,偲
摁	愢,偲
㴓	偲
偳	揣,湍,惴
惻	恻,側
測	测,側
偸	偷
谕	偷,愉
溇	淁,涹,偻
傀	溾,愧,塊,槐
塊	愧,槐,瑰,傀
傁	獀
㥰	傁,馊,捜,獀
傂	搋
搋	傂
㴲	搋,傂
傃	榡,溸,愫,傫
傫	傃,嫘,镙,摞,缧
愫	傃,榡,溸
榡	傃,縤,嗉,塐,愫,嫊
溸	傃,愫
㒍	傃,傫
㨞	傃,塐,榡,愫
傳	儴,漙,僂,僡,慱,僔,塼,傅,摶
愽	榑,搏,慱,禣,傅
傆	
塬	傆
㥳	榞,傆,塬
傇	備,僙
傈	慄,儝,凓,僳
僳	儏,憟,僲,傈,僄
凓	傈
慄	煙,憟,塛,傈,瑮
㑱	渘,傈,楺,瑈
傊	傦,愪
愪	愲,塤,傊,愓,愒,損,愩,惕
搆	撗,棈,媾,掅,橫,講,褠,惰,耩,構,煹,檋,傋
溝	傋,瘒,凊
塝	傍,搒,镑,垮
㥬	傍,塝,镑,愔
徬	谤,傍,榜
僨	濆,憤,傎,墳,傽
掮	傏,搪,揎,握
瑭	禟,煻,傏,磄,搪
傐	僪,塙,槁,禞,滈,儁,儒
儁	懏,傐,擕
塙	嗃,禞,傐,槁
滈	傐,潉
禞	嗃,塙,傐,槁
傑	滐
滐	傑
傒	溪,慀
慀	傒
溪	傒
傓	稨,煽,谝,搧,楄,揙
揙	傓,稨,褊,媥,煽,惼,犏,徧,谝,搧,楄,编,煸
搧	傓,煸,稨,褊,煽,惼,谝,楄,揙
楄	傓,煸,稨,褊,媥,煽,惼,犏,徧,谝,搧,揙
煽	傓,煸,褊,媥,搧,楄,揙
谝	傓,煸,稨,褊,媥,煽,惼,徧,搧,楄,编,揙
	傓,煸,稨,褊,媥,煽,搧,楄,揙
㮼	傓,煸,稨,褊,媥,煽,搧,楄,揙
傔	慊,溓,谦
慊	傔,搛,熑,稴,槏,谦
搛	慊,傔,熑,槏,稴,谦,縑
溓	傔
傕	催,搉,榷
搉	榷,傕
榷	搉,槯,傕
㩁	榷,搉,傕
㴶	潅,傕
傖	愴
愴	搶,傖
滄	凔,傖
慉	傗,搐
槒	傗
傛	溶,愹
搨	揚,褟,榻,傝,塌,禢
榻	搨,榅,楊,褟,傝,塌,禢
溻	傝
禢	搨,禓,禤,褟,榻,傝,塌
傞	槎
槎	縒,傞,嫅,搓,褨
傟	慃
塕	傟,慃
慃	傟,塕
傢	
㥭	傣,埲,捧
僊	傦
儇	傦,噮,檈,環,獧
愲	傦,馉,愪,榾,螖,搰
搰	傦,愲,嗗,縎,揖,馉,揟,榾,螖,稩
榾	傦,愲,嗗,楫,縎,枻,馉,螖,搰
傩	雔,滩
雊	傩,鵻
雔	傩
傪	滲,墋,摻,慘
墋	滲,摻,傪,慘
慘	墋,摻,傪
摻	墋,傪,慘
滲	傪
镙	嫘,摞,傫,磥,樏,缧
凗	催,墔,漼
墔	慛,璀,熣,催,摧,凗
慛	墔,璀,熣,催,摧
漼	催,凗,潅,墔
熣	墔,慛,璀,催,摧
傭	慵,槦,傷
傷	慯,摥,傭
墉	慵,镛,傭,槦,嘃
慵	镛,傭,惼,墉,懥,槦,嘃
槦	慵,镛,嫞,傭
傮	權,懽,僼,慒,漕
慒	傮,螬,褿,糟,懽,嶆,嘈,慬,愭
懽	憧,權,傮,壦,懼,欋,讙,慒,慬,瓘,獾,嚾
權	傮,壦,懼,懽,欋,瓘,獾
漕	澧,傮,濖
䄚	褼,傮,褿,禮,糟,嶆,嘈,慒
傯	璁,憁,摠
憁	傯,璁,摠,熜
摠	傯,璁,憁,熜
璁	傯,憁,摠,熜
傰	塴,憴
塴	傰
傱	漎
漎	傱
慠	傲,獓
獓	傲,慠,嗷,璈
僂	塿,債,摟,樓,傳,慺,熡
塼	槫,塿,慱,摶,傳,暷,瑼
慱	塼,摶,傳,慺,懹,暷
摶	槫,慱,塼,摟,傳,慺,竱,暷,瑼
漙	潱,傳,漊,潓,澊
債	潰,儧,僂,撌,僓,慣,墤,憒,價,積,漬,摜
僓	潰,儧,債,慣,墤,憒,價,樻,撌
價	谭,債,檟,僓,慣,憛,摜
墤	債,撌,僓,慣,殨,憒,樻,摜,璝
慣	債,僓,橿,瑻,墤,憛,惺,懫,憒,價,慺,樌,摜
憒	欍,潰,儧,債,撌,瘨,僓,慣,墤,懫,樻,摜,璝
樍	債,樻,嘖,磧,墤,殨,樓,嬇,績,璝,襀,鐀,積,欍,嫧,撌,皟,謮,繢,憒,樌
漬	潰,潭,債,濥,瀆
㣱	債,撌,僓,墤,憒,襀,積,鐀,樍,摜
㥽	潰,儧,債,撌,僓,愶,慣,墤,懫,憒,價,慺,積,漬,樍,摜
傶	槭,摵
摵	墄,慽,槭,傶
槭	墄,摵,慽,傶
塲	慯,摥,傷
慯	愶,塲,摥,傷
摥	慯,塲,傷
漡	傷
傹	傽,摬
傽	慞,璋,樟,墇,傹,漳
摬	慞,樈,樟,獍,鏡,糡,傹,璄,镜
傺	漈
漈	傺
傼	瑾,僅,漌,墐,槿,慬,馑,谨
墐	堹,瑾,傼,僅,槿,漌,慬,馑,謹,谨
槿	瑾,傼,漌,僅,墐,慬,馑,谨
漌	瑾,傼,僅,墐,槿,慬,馑,湩,谨,溳
瑾	傼,僅,墐,槿,漌,慬,馑,謹,谨
馑	瑾,傼,僅,墐,槿,漌,慬,谨
㨷	馑,瑾,傼,僅,墐,槿,漌,褈,慬,撺,謹,谨
墇	慞,獐,璋,樟,暲,傽
慞	墇,傽,憤,樟
漳	傽
傾	
頑	頩,頎,頜,顽,頝,頱,頒,傾,頭,頌,頹,頢
僀	墆,滯
墆	摕,僀
滯	僀
僁	
㣰	僁
塿	螻,僂,塼,嶁,摟,樓,耬,慺,熡,縷
慺	螻,鏤,塿,僂,慱,慣,耬,嶁,摟,樓,縷,熡
摟	螻,鏤,塿,僂,耬,嶁,摶,樓,慺,熡,縷,謱
樓	螻,鏤,塿,僂,耬,嶁,摟,摶,慺,熡,縷,樌,謱
熡	螻,鏤,艛,塿,僂,耬,嶁,摟,樓,慺,縷,謱
㺏	螻,鏤,塿,僂,耬,嶁,摟,樓,慺,熡
䄛	螻,鏤,艛,塿,僂,耬,嶁,摟,摶,樓,慺,熡,縷,謱
䅹	螻,鏤,塿,僂,耬,嶁,摟,樓,慺,熡,縷,謱
僃	
僄	標,僳,墂,慓,摽
墂	標,缥,螵,憟,褾,嫖,慓,摽,瞟,嘌,熛,僄,镖
慓	標,缥,憟,墂,褾,摽,嘌,熛,僄,镖
摽	標,缥,憟,墂,褾,嫖,慓,嘌,熛,僄,镖
標	缥,螵,槚,磦,墂,謤,褾,嫖,鏢,慓,摽,瞟,縹,熛,僄,镖
僆	墶,撻,璉,慩,褳,漣,嗹
嗹	僆,噠,曃,慩,褳,璉
墶	璉,慩,僆,撻
慩	摙,僆,墶,撻,璉,褳,嗹
撻	僆,墶,擿
璉	摙,僆,慩,褳,嗹
褳	摙,僆,璉,慩,褲,嗹,槤
㒓	慩,僆,墶,撻
㣵	僆,橽,墶,撻,噠,褳
僇	谬
僈	谩
胥	胃,僊,冐
僌	敒,儌
敒	僌
働	
慟	懄,働
潒	像
僐	墡,橏
墡	僐,橏
橏	僐,墡
僑	橋,憍,撟,墧
墧	燆,嘺,墤,譑,嬌,憍,撟,橋,僑,獢,繑
憍	愶,燆,嘺,嬌,慯,撟,橋,僑,獢,繑,墧
儧	僓,潰,憒,濽
撌	僓,墤,憒,襀,樻,摜,璝
潰	儧,瘨,濥,僓,漬,憒,濽,漊
僔	樽,撙
墫	繜,僔,鐏,燇,樽,壿,撙
壿	噂,繜,墫,僔,鐏,燇,樽,撙
撙	搏,繜,墫,僔,鐏,燇,樽,壿
㵙	漌,僖,憘,漕,溳
僗	憦
憦	僗
㒌	僗
僘	徶,撇
䃟	僘
潢	滝,僙
僚	橑,憭
憭	橑,燎,撩,缭,暸,獠,镣,嫽,僚,憶,璙,嘹
橑	撩,缭,獠,镣,憭,僚
㙩	橑,燎,撩,缭,獠,镣,憭,僚,嘹
僜	憕,撜,墱,澄
墱	僜,憕,撜,澄,燈
憕	僜,墱,撜,澄,燈
撜	僜,墱,憕,澄,燈
僞	潙,撝
撝	僞
潙	僞
僠	憣,墦,橎,播
憣	墦,橎,僠,播
播	憣,墦,橎,僠
橎	墦,皤,僠,襎,憣,播
僢	橓
橓	僢
渾	湋,滭,浲,僤,澤,潬
潬	湋,滭,瘅,潳,浲,僤,渾
僥	澆,撓,穘,憢,墝,獟,徺,橈
墝	澆,撓,穘,憢,僥,譊,橈,燒,繞,磽,皢,襓,獟,徺,嬈
徺	撓,穘,憢,僥,嘵,墝,繞,獟,橈
憢	澆,撓,穘,僥,隢,燒,墝,襓,曉,獟,徺,橈
撓	澆,穘,憢,僥,橈,燒,墝,繞,襓,獟,徺,嬈
橈	撓,穘,憢,僥,隢,燒,嘵,墝,繞,磽,皢,曉,襓,徺,嬈
澆	憢,僥
獟	撓,穘,憢,僥,隢,嘵,墝,獖,徺
穘	撓,憢,僥,譊,橈,燒,隢,墝,繞,磽,皢,曉,襓,徺,嬈
僣	僧
潧	僧
憤	僨,燌,墳,愶,蟦,噴,羵,獖,橨
濆	瀖,僨,憤,墳
僩	撊,僴
僴	澗,僩
撊	燗,撋,擱,僩
㵎	撊,澗,濶,僩
㶄	濶,瀾,澗,僩
僪	谲,潏,橘,憰,璚
憰	僪,谲,橘,噊,獝,璚,瞲,鐍,燏,繘
橘	僪,谲,噊,獝,憰,璚,瞲,鐍,燏,繘
潏	僪,谲
璚	僪,橘,噊,獝,憰,瞲,鐍,燏,繘
谲	僪,潏,橘,憰,璚
僬	穛,憔,谯,撨
谯	僬,憔,潐
憯	撍,谮,糣,噆,惽,熸,橬,惛,僭
㻸	谮,噆,熸,憯,橬,僭
墥	憧,橦,蓮,噇,鐘,墴,徸,燑,獞,僮,潼,曈
徸	墥,憧,橦,蓮,噇,鐘,燑,獞,褈,僮,潼,曈
橦	墥,憧,噇,楻,鐘,徸,燑,檍,獞,褈,僮,槓,曈
潼	肁,塵,僮,澺
燑	墥,憧,橦,朣,噇,鐘,爅,徸,膧,獞,僮,曈
蓮	墥,憧,徸,潼,僮,籩,薘,藩
僯	
僲	僯,僳
僱	
儏	僳
憟	慄,摽,慓,僳
澗	僴,潤,澖,濶,瀾
㴸	僴,澖,潣,濶,澗
儔	璹,幬,檮,儃,癟,僵,壔,儶,懤,籗,濤,禱,擣
懤	懔,璹,幬,檮,儃,嚋,鑄,僵,儔,譸,壔,儶,懛,擡,擣,懍,濤,禱,攜,憻
癟	癯,僵,癨
憴	堋,僶
僷	擛
擛	僷
㑿	漅,僷
㵩	僷
僸	澿
澿	僸,漜,凚
㦗	僸,噤,憷,澿,襟
㩒	僸,噤,襟
㯲	僸,襟
憛	谭,撢,檟,慣,橝,禫,價,磹,墰,蟫
摜	檟,慣,橿,瑻,墤,憒,價,樌,撌
檟	橝,價,憛,積
谭	墰,價
澧	僼,湹,濖
僽	
㵞	僽
㒏	僿
儀	檥
檥	議,蟻,犠,儀
㩘	檥,儀
懏	檇,儁,懦,擕
擕	儁,懏,檇
㑺	镌,懏,儁,槜,擕
儂	濃,憹
憹	檂,儂,穠,擃,噥,禯,譨
濃	儂
壇	澅,膻,懔,儃,璮,檯,檩,襢,壈,壔,擡,懛,繵,檀,懍,澶,嬗,憻
嬗	膻,儃,璮,檀,繵,嫿,襢,壇,憻
憻	膻,懔,儃,璮,檯,懍,檩,襢,擡,繵,懛,懤,檀,儓,澶,壇,嬗
懍	懔,儃,儔,檩,燷,壈,懛,懤,檀,澟,壇,嬗,檁,燣,憻
懔	儃,璮,檩,燷,襢,壈,懛,懤,檀,懍,澟,壇,嬗,燣,憻
懛	籗,擤,澅,懔,儃,璮,檯,懍,襢,臺,擡,懤,檀,儓,壇,繣,憻
檀	膻,檯,懛,懍,壇,嬗,憻,儃,璮,檩,櫖,儓,檁,檮,櫮,懔,擡,繵,嫿,襢,繣
檩	懔,儃,璮,檯,燷,襢,壈,擡,檀,懍,壇,檁,憻
澅	儃,嫿,澶,繣,濞
澟	懔,凛,儃,壈,懍,澶,濤
澶	澅,儃,壇,凛
璮	膻,懔,璹,儃,檯,檩,燷,蟺,擡,繵,懛,譠,檀,襢,羶,壇,嬗,燣,憻
篟	簼,儃,簜,簤,蒨,篢,箽,簄
蒨	簼,篟,璹,儃,蔳,蔶
襢	膻,懔,儃,璮,檯,檩,蟺,禱,擡,繵,懛,譠,檀,壇,嬗,繣,憻
㣶	膻,懔,篟,儃,璮,檯,懍,檩,蟺,襢,擡,繵,懛,檀,儓,壇,嬗,繣,憻
㦎	籗,擤,澅,懔,篟,儃,璮,檯,檀,蒨,襢,擡,懛,懤,嫿,儓,壇,繣,憻
䄠	膻,懔,儃,璮,檯,檩,蟺,擡,繵,懛,譠,檀,襢,壇,嬗,繣,憻
䆄	膻,儃,璮,檯,檩,蟺,襢,擡,繵,懛,譠,檀,儓,壇,嬗,繣,憻
憶	憧,憓,億,檍,慬,噫,镱
儅	壋,澢
壋	澢,儅
澢	壋,儅
噮	儇,獧,檈
檈	蠉,噮,糫,鐶,環,儇,镮
獧	儇,彋
環	噮,檈,糫,缳,儇,镮
儈	澮,檜
懀	儈,燴,瞺,糩,徻,獪,嬒,襘,璯,橹,繪,禬,檜,撸
檜	儈,瞺,懀,糩,徻,獪,嬒,襘,璯,橹,繪,禬,櫓
澮	澛,儈
儊	檚
檚	儊
儋	憺,澹,谵,檐,擔
憺	噡,襜,谵,儋,檐,曕,擔
擔	噡,襜,憺,谵,儋,檐
澹	谵,儋
㑾	儋
儌	撽,墽,徼,璬
墽	獥,撽,徼,憿,檄,儌,缴,璬
徼	曒,獥,撽,憿,墽,檄,儌,缴,璬
憿	曒,獥,撽,徼,墽,檄,儌,缴,璬
撽	獥,徼,憿,墽,檄,儌,撴,缴,璬
檄	橔,噭,撽,徼,憿,墽,獥,儌,缴,璬
璬	礉,曒,獥,撽,徼,憿,燩,墽,檄,儌,缴
儐	檳,璸,穦
擯	嬪,儐,璸,蠙,檳
檳	嬪,儐,璸,擯,穦,獱
璸	儐,擯,穦,檳,獱
穦	儐,穳,璸,矉,檳,獱
瓀	燸,繻,擩,懦,曘,糯,壖,獳,檽,儒,襦,隭
儶	攜,儔
壔	璹,幬,檮,鑄,嚋,儔,譸,壈,懤,擣,壇,禱,攜,嶹
擣	璹,幬,檮,鑄,嚋,檯,儔,譸,壔,擡,懤,濤,禱,攜
檮	璹,幬,鑄,嚋,檯,儔,檩,檀,櫖,欗,壔,擡,懤,譸,擣,禱,憻
濤	澅,璹,檮,震,儔,譸,壔,懤,澟,濞,擣
璹	幬,檮,璮,嚋,鑄,儔,疇,譸,蒨,壔,懤,擣,躊,濤,禱,嶹
禱	璹,幬,檮,鑄,嚋,檯,儔,譸,壔,擡,懤,襢,攜,擣
儕	擠,櫅,纃,懠
懠	嚌,璾,纃,擠,櫅,隮,儕
擠	櫅,纃,儕,懠
櫅	璾,懠,纃,擠,儕
儖	檻,懢,濫
壏	懢,儖,璼,襤,檻,爁
懢	儖,璼,襤,檻,爁,壏
檻	懢,儖,璼,襤,壏
濫	儖
㩜	懢,儖,璼,襤,檻,壏
儗	懝
懝	儗
壗	嚍,孻,儘,璶
濜	儘
璶	嚍,孻,儘,壗
儙	槦,谴
谴	儙,缱
㯾	摣,儙,樝
儚	懜
懜	儚,悽
㙹	儚,懜
儛	
㵲	儛
儜	擰,檸
擰	儜,檸
檸	獰,嚀,懧,擰,檩,儜
㣷	檸,懧,擰,儜,濘
儝	
儞	擟
擟	襧,檷,儞,彌
償	戃,儻,欓
儻	償,戃,攩,灙,欓
戃	讜,償,儻,矘,爣,攩,欓
欓	讜,償,戃,儻,爣,攩
儡	
偘	儡
㵽	儡
儢	攄
攄	儢
儣	擴,櫎,壙,嚝,懭,獷
壙	擴,儣,櫎,爌,嚝,穬,懭,曠,纊,獷,礦
懭	擴,儣,櫎,壙,爌,嚝,穬,曠,纊,獷
擴	儣,櫎,壙,爌,嚝,懭,纊,獷
櫎	擴,儣,壙,爌,嚝,穬,懭,曠,纊,獷,礦
㼅	擴,儣,櫎,壙,爌,嚝,穬,矌,懭,曠,纊,獷,礦
儤	懪
懪	儤
㩧	懪,儤
儥	凟,櫝,鑟,瓄,襩
凟	儥,麚,麜
擅	儥,櫝
櫝	凟,嬻,儥,鑟,續,瓄,襩,擅
瓄	殰,櫝,嬻,儥,鑟,續,襩
襩	殰,櫝,嬻,儥,鑟,牘,續,瓄,犢
䄣	殰,櫝,嬻,儥,鑟,牘,續,瓄,襩,犢
儦	瀌
瀌	儦
濽	潰,漊,儧,灒
儩	瀃
瀃	儩
優	櫌
櫌	優,橿,纋
儫	壕,檺
壕	儫,檺,嚎
檺	壕,儫,嚎,蠔
濠	儫
㩝	儫,蠔,擡,壕,檺,攜
儬	
㵾	儬
儮	櫪,壢,攊
壢	爏,攊,儮,櫪,嚦,瓑
攊	櫪,壢,儮,嚦
櫪	礰,儮,攊,嚦,壢,瓑
儱	瀧,壠,攏,櫳
壠	儱,攏,櫳,徿,嚨
徿	儱,攏,櫳,瓏,嚨,壠
攏	儱,壠,徿,櫳
櫳	儱,攏,瓏,徿,嚨,壠
瀧	儱
儲	櫧
櫧	蠩,儲
㶆	儲
儳	瀺,欃,攙
攙	嚵,儳,欃
欃	嚵,儳,攙
瀺	儳
儴	瀼,欀,忀,攘,懹
忀	镶,儴,纕,獽,鑲,嚷,瓖,欀,孃,穰,攘,懹,壤,禳
懹	镶,儴,獽,瓖,欀,忀,穰,攘,壤,禳
欀	镶,儴,獽,鑲,瓖,忀,孃,穰,攘,懹,壤,禳
瀼	儴
儵	鯈
鯈	絛,儵
攜	孈,瓗,儶,讗,纗,擣
㒟	儶
儷	攦,欐,襹,灑
攦	欐,襹,儷
欐	纚,攦,囇,欔,襹,穲,儷,曬
灑	儷
儸	欏
欏	玀,囉,纙,曪,儸,攞
㦬	玀,囉,纙,曪,儸,攞,欏
儹	攢,灒
攢	欑,攅,襸,儹,櫕
灒	儹,濽
㿎	瘺,厧,瘒,儹,癝,癛
儺	攤,灘
攤	儺,灘
灘	儺,攤
攩	讜,戃,儻,矘,爣,钂,欓
灙	儻
儾	欜
欙	儾,纝
欜	儾
兀	兀
冗	元
兇	兕
兕	兇
先	光
光	先
克	
点	克
兔	免
兎	蒐
莵	茧,兎
䖝	柬,茧,兎
皃	兒
兙	兛,尅
兛	兙,尅
尅	兛,兙
兝	勊
勊	兝
幷	共
关	矢,夨,失,夫
夨	矢,失,关,夫
失	矢,夨,关,夫
矢	失,关,宊
昷	是,具,星,显,直
荨	疌,恴,莮,具,莫,菓,宭,菎,菒,荁,葨
菒	巢,菄,棄,業,具,莫,菓,莧,葨
貞	頁,具,莫,盲,竟,壷,直,荁
曽	宣,兽,曾,暜
首	兽,苣,宧
兾	
寅	肓,兾
冁	輾
蹍	輾,冁
輾	轘,冁,蹍
䱼	冁,鱣
冂	口,皿
口	囗,冂,皿
冃	冋,罔,岡
冋	冏,冃,胢,囘
內	禸,内
甴	由,山,虫,内,峀
円	罔
䍏	円,罔
冇	有
有	冇
冊	
册	
再	旉,果
冏	同
同	间,冏,靣
冐	置,胥,胃,肾,蝁
肾	胃,胥,冐
胃	胄,胥,冐
冑	窨,曺,眚,童,靑,胄,寊
寊	曺,窨,菫,貣,冑,員,童,菖,胄
巪	曺,冑,萭,昊,胄,葽
曺	菫,冑,眚,専,曹,童,胄,粤
胄	曺,冑,眚,胃,靑,寊,粤
㔛	寫,曺,冑,尃,専,蓠,萭,菖,靑,胄,巪
㽕	靑,寛,冑
脅	冒,脋
冓	蔒,黃,菫,寞,輂,葷,童,冨,葍,蓄
芾	黄,冓,策,帀
葍	墓,菫,蒚,蓁,葷,藞,藟,童,菖,蓲,荲,蒏,堇,冨,冓,噩
葷	蕇,輂,軰,簞,蓁,冓,蓄,葦
蓄	輂,蓁,冓,葷
蔒	冓
黃	冓
䔔	寬,蘴,蕘,靑,蓳,蔁,寛,冓,蕡,葦
䢽	藞,冨,冓,葍
冚	山,笛,田
田	玉,冚,出,笛,卍,玊,囚,国,卐,王,臿
冝	苴,肎
肎	冝
苴	肎,冝
䇘	苴,冝
䒣	蕪,苴,肎,冝
冞	耒,采,釆,罙
罙	穼,耒,冞
耒	采,釆,来,冞,罙
釆	耒,采,冞,罙
冟	
䆞	冟
冡	豙
豙	冡
䆥	冡,豙
冣	菆
菆	冣
㝡	冣
冤	莬,菟
莬	冤,菟
菟	莬,冤
冥	莫
㝙	棄,冥,莮,莫,菓,貞
冦	
㓂	窛,宼,冦
冧	菻
菻	冧
㝝	冧
冨	審,藞,菖,蒏,蓲,葍
寔	冨,墓
審	萫,蕃,荲,冨,蜜
菖	雚,曺,菫,萬,葟,萭,藠,童,蒏,堇,冨,葍,蔧
蒏	菖,瘒,冨,葍,莤
